"","date","hits","keyword"
"133",2022-04-12,3,"Fico 2022"
"134",2022-04-13,1,"Fico 2022"
"135",2022-04-14,0,"Fico 2022"
"136",2022-04-15,0,"Fico 2022"
"137",2022-04-16,2,"Fico 2022"
"138",2022-04-17,2,"Fico 2022"
"139",2022-04-18,1,"Fico 2022"
"140",2022-04-19,4,"Fico 2022"
"141",2022-04-20,4,"Fico 2022"
"142",2022-04-21,2,"Fico 2022"
"143",2022-04-22,3,"Fico 2022"
"144",2022-04-23,2,"Fico 2022"
"145",2022-04-24,4,"Fico 2022"
"146",2022-04-25,4,"Fico 2022"
"147",2022-04-26,4,"Fico 2022"
"148",2022-04-27,3,"Fico 2022"
"149",2022-04-28,2,"Fico 2022"
"150",2022-04-29,2,"Fico 2022"
"151",2022-04-30,3,"Fico 2022"
"152",2022-05-01,2,"Fico 2022"
"153",2022-05-02,2,"Fico 2022"
"154",2022-05-03,4,"Fico 2022"
"155",2022-05-04,1,"Fico 2022"
"156",2022-05-05,1,"Fico 2022"
"157",2022-05-06,2,"Fico 2022"
"158",2022-05-07,3,"Fico 2022"
"159",2022-05-08,3,"Fico 2022"
"160",2022-05-09,4,"Fico 2022"
"161",2022-05-10,1,"Fico 2022"
"162",2022-05-11,3,"Fico 2022"
"163",2022-05-12,2,"Fico 2022"
"164",2022-05-13,2,"Fico 2022"
"165",2022-05-14,1,"Fico 2022"
"166",2022-05-15,3,"Fico 2022"
"167",2022-05-16,1,"Fico 2022"
"168",2022-05-17,5,"Fico 2022"
"169",2022-05-18,6,"Fico 2022"
"170",2022-05-19,6,"Fico 2022"
"171",2022-05-20,3,"Fico 2022"
"172",2022-05-21,6,"Fico 2022"
"173",2022-05-22,4,"Fico 2022"
"174",2022-05-23,3,"Fico 2022"
"175",2022-05-24,5,"Fico 2022"
"176",2022-05-25,0,"Fico 2022"
"177",2022-02-27,0,"Fajardo 2022"
"178",2022-02-28,1,"Fajardo 2022"
"179",2022-03-01,1,"Fajardo 2022"
"180",2022-03-02,0,"Fajardo 2022"
"181",2022-03-03,1,"Fajardo 2022"
"182",2022-03-04,2,"Fajardo 2022"
"183",2022-03-05,2,"Fajardo 2022"
"184",2022-03-06,2,"Fajardo 2022"
"185",2022-03-07,1,"Fajardo 2022"
