"","date","hits","keyword"
"145",2022-04-18,4,"Fico Presidente"
"146",2022-04-19,2,"Fico Presidente"
"147",2022-04-20,2,"Fico Presidente"
"148",2022-04-21,4,"Fico Presidente"
"149",2022-04-22,3,"Fico Presidente"
"150",2022-04-23,2,"Fico Presidente"
"151",2022-04-24,6,"Fico Presidente"
"152",2022-04-25,5,"Fico Presidente"
"153",2022-04-26,7,"Fico Presidente"
"154",2022-04-27,7,"Fico Presidente"
"155",2022-04-28,4,"Fico Presidente"
"156",2022-04-29,2,"Fico Presidente"
"157",2022-04-30,2,"Fico Presidente"
"158",2022-05-01,3,"Fico Presidente"
"159",2022-05-02,2,"Fico Presidente"
"160",2022-05-03,7,"Fico Presidente"
"161",2022-05-04,1,"Fico Presidente"
"162",2022-05-05,5,"Fico Presidente"
"163",2022-05-06,4,"Fico Presidente"
"164",2022-05-07,5,"Fico Presidente"
"165",2022-05-08,1,"Fico Presidente"
"166",2022-05-09,1,"Fico Presidente"
"167",2022-05-10,5,"Fico Presidente"
"168",2022-05-11,5,"Fico Presidente"
"169",2022-05-12,7,"Fico Presidente"
"170",2022-05-13,9,"Fico Presidente"
"171",2022-05-14,7,"Fico Presidente"
"172",2022-05-15,7,"Fico Presidente"
"173",2022-05-16,5,"Fico Presidente"
"174",2022-05-17,8,"Fico Presidente"
"175",2022-05-18,10,"Fico Presidente"
"176",2022-05-19,0,"Fico Presidente"
"177",2022-02-21,0,"Fajardo Presidente"
"178",2022-02-22,0,"Fajardo Presidente"
"179",2022-02-23,0,"Fajardo Presidente"
"180",2022-02-24,2,"Fajardo Presidente"
"181",2022-02-25,0,"Fajardo Presidente"
"182",2022-02-26,0,"Fajardo Presidente"
"183",2022-02-27,0,"Fajardo Presidente"
"184",2022-02-28,0,"Fajardo Presidente"
"185",2022-03-01,0,"Fajardo Presidente"
"186",2022-03-02,0,"Fajardo Presidente"
"187",2022-03-03,0,"Fajardo Presidente"
"188",2022-03-04,0,"Fajardo Presidente"
"189",2022-03-05,3,"Fajardo Presidente"
"190",2022-03-06,1,"Fajardo Presidente"
"191",2022-03-07,0,"Fajardo Presidente"
"192",2022-03-08,1,"Fajardo Presidente"
"193",2022-03-09,1,"Fajardo Presidente"
"194",2022-03-10,1,"Fajardo Presidente"
"195",2022-03-11,3,"Fajardo Presidente"
"196",2022-03-12,8,"Fajardo Presidente"
"197",2022-03-13,17,"Fajardo Presidente"
"198",2022-03-14,5,"Fajardo Presidente"
"199",2022-03-15,4,"Fajardo Presidente"
"200",2022-03-16,2,"Fajardo Presidente"
"201",2022-03-17,3,"Fajardo Presidente"
"202",2022-03-18,0,"Fajardo Presidente"
"203",2022-03-19,0,"Fajardo Presidente"
"204",2022-03-20,0,"Fajardo Presidente"
"205",2022-03-21,3,"Fajardo Presidente"
"206",2022-03-22,2,"Fajardo Presidente"
"207",2022-03-23,1,"Fajardo Presidente"
"208",2022-03-24,0,"Fajardo Presidente"
"209",2022-03-25,1,"Fajardo Presidente"
"210",2022-03-26,0,"Fajardo Presidente"
"211",2022-03-27,1,"Fajardo Presidente"
"212",2022-03-28,0,"Fajardo Presidente"
"213",2022-03-29,1,"Fajardo Presidente"
"214",2022-03-30,0,"Fajardo Presidente"
