"","CODE_REGIS","Presi","VOTOS"
"198",1169,"Petro",1082
"199",1170,"Fajardo",116
"200",1170,"Fico",764
"201",1170,"Petro",315
"202",1172,"Fajardo",358
"203",1172,"Fico",1594
"204",1172,"Petro",309
"205",1175,"Fajardo",206
"206",1175,"Fico",912
"207",1175,"Petro",249
"208",1178,"Fajardo",2757
"209",1178,"Fico",10187
"210",1178,"Petro",3717
"211",1181,"Fajardo",212
"212",1181,"Fico",541
"213",1181,"Petro",188
"214",1184,"Fajardo",26
"215",1184,"Fico",39
"216",1184,"Petro",679
"217",1187,"Fajardo",199
"218",1187,"Fico",516
"219",1187,"Petro",890
"220",1190,"Fajardo",158
"221",1190,"Fico",757
"222",1190,"Petro",135
"223",1191,"Fajardo",316
"224",1191,"Fico",555
"225",1191,"Petro",949
"226",1192,"Fajardo",892
"227",1192,"Fico",1706
"228",1192,"Petro",2035
"229",1193,"Fajardo",97
"230",1193,"Fico",487
"231",1193,"Petro",51
"232",1196,"Fajardo",638
"233",1196,"Fico",2859
"234",1196,"Petro",838
"235",1199,"Fajardo",121
"236",1199,"Fico",300
"237",1199,"Petro",397
"238",1202,"Fajardo",250
"239",1202,"Fico",987
"240",1202,"Petro",236
"241",1205,"Fajardo",701
"242",1205,"Fico",2569
"243",1205,"Petro",1809
"244",1206,"Fajardo",519
"245",1206,"Fico",1336
"246",1206,"Petro",738
"247",1208,"Fajardo",306
"248",1208,"Fico",643
"249",1208,"Petro",825
"250",1211,"Fajardo",1140
"251",1211,"Fico",6807
"252",1211,"Petro",979
"253",1214,"Fajardo",8147
"254",1214,"Fico",32145
"255",1214,"Petro",10825
"256",1217,"Fajardo",112
"257",1217,"Fico",441
"258",1217,"Petro",135
"259",1218,"Fajardo",5890
"260",1218,"Fico",26734
"261",1218,"Petro",7858
"262",1220,"Fajardo",209
"263",1220,"Fico",1610
"264",1220,"Petro",170
"265",1223,"Fajardo",86
"266",1223,"Fico",403
"267",1223,"Petro",119
"268",1226,"Fajardo",503
"269",1226,"Fico",2007
"270",1226,"Petro",595
"271",1227,"Fajardo",170
"272",1227,"Fico",475
"273",1227,"Petro",195
"274",1229,"Fajardo",350
"275",1229,"Fico",1716
"276",1229,"Petro",366
"277",1230,"Fajardo",151
"278",1230,"Fico",254
"279",1230,"Petro",86
"280",1231,"Fajardo",529
"281",1231,"Fico",695
"282",1231,"Petro",1339
"283",1232,"Fajardo",290
"284",1232,"Fico",1087
"285",1232,"Petro",493
"286",1235,"Fajardo",928
"287",1235,"Fico",3436
"288",1235,"Petro",920
"289",1237,"Fajardo",809
"290",1237,"Fico",1035
"291",1237,"Petro",1100
"292",1238,"Fajardo",380
"293",1238,"Fico",1608
"294",1238,"Petro",524
"295",1241,"Fajardo",365
"296",1241,"Fico",2061
"297",1241,"Petro",336
"298",1244,"Fajardo",746
"299",1244,"Fico",2323
"300",1244,"Petro",670
"301",1247,"Fajardo",833
"302",1247,"Fico",2385
"303",1247,"Petro",1011
